index,Source,Brand,Campaign,Review,Refined_Review,Polarity_Vader
0,Cardekho,Hector,Paytm Voucher,The best car Extremely luxurious comfortable drive instant pickup best customer service best Even customer service Is good,the best car extremely luxurious comfortable drive instant pickup best customer service best even customer service is good,1
1,Cardekho,Hector,Paytm Voucher,Anubhav Singh Great Experience If looking buy Hector better feel Luxury Experience Just amazing SUV segment,if looking buy   better feel   just amazing   segment,1
2,Cardekho,Hector,Paytm Voucher,You love comfort car enjoy city driving highway,you love comfort car enjoy city driving highway,1
3,Cardekho,Hector,Paytm Voucher,decided buy MG HECTOR This car absolutely perfect riding performance comfortable age,decided buy   hector this car absolutely perfect riding performance comfortable age,1
4,Cardekho,Hector,Paytm Voucher,The car much comfortable drive good legroom space passenger,the car much comfortable drive good legroom space passenger,1
5,Cardekho,Hector,Paytm Voucher,The ride quality excellent cannot asking,the ride quality excellent cannot asking,1
6,Cardekho,Hector,Paytm Voucher,Altho Rahul D Hector Good Than Hector Plus It best SUV price lakh,plus it best   price lakh,1
7,Cardekho,Hector,Paytm Voucher,MG Hector plus congested Hector best,plus congested   best,1
8,Cardekho,Hector,Paytm Voucher,Raja Upadhyay Nothing Like MG Hector Best car styling comfort convenience long drive lot safety feature,like     best car styling comfort convenience long drive lot safety feature,1
9,Cardekho,Hector,Paytm Voucher,Krusna Prasad Jena Mileage Of CVT Hector Very poor mileage kmpl city around kmpl highway petrol version CVT,poor mileage kmpl city around kmpl highway petrol version,-1
10,Cardekho,Hector,Paytm Voucher,All car shit price point harrier etc Dikshant Kumar Value For Money In mid range Hector value money amazing top line luxurious feature,all car shit price point harrier etc   in mid range   value money amazing top line luxurious feature,1
11,Cardekho,Hector,Paytm Voucher,Amit Patel Worst SUV Petrol car give mileage kmpl city highway kmpl,petrol car give mileage kmpl city highway kmpl,0
12,Cardekho,Hector,Paytm Voucher,Amit Chopra Bad Mileage Very bad mileage DCT version,very bad mileage   version,-1
13,Cardekho,Hector,Paytm Voucher,Till got best performance Hector,got best performance,1
14,Cardekho,Hector,Paytm Voucher,also getting decent mileage km L hig Raoof Shihab Very Poor Handling Overtake karte Waqt gadi line se bhatakti hai jaise hi speed Ho overtake kr rahe hai gadi line ke bahar jati hai,also getting decent mileage km l hig   karte   gadi line se bhatakti hai jaise hi speed ho overtake kr rahe hai gadi line ke bahar jati hai,0
15,Cardekho,Hector,Paytm Voucher,Rohan Borkar Extremely luxurious The best car ever seen price point,extremely luxurious the best car ever seen price point,1
16,Cardekho,Hector,Paytm Voucher,Extremely luxurious comfortable drive instant pickup best customer service best treat customer God Dr Devika Mehra My Worst Experience MG Hector Sharp DCT This people quite skeptical buying MG Hector,extremely luxurious comfortable drive instant pickup best customer service best treat customer god dr     this people quite skeptical buying,1
17,Cardekho,Hector,Paytm Voucher,Frankly speaking feature car great comfort provides overall good check performance car mileage car Sreelakshmi R Nath Awesome Product Awesome one stylish one totally loved,frankly speaking feature car great comfort provides overall good check performance car mileage car   awesome one stylish one totally loved,1
18,Cardekho,Hector,Paytm Voucher,The best car within,the best car within,1
19,Cardekho,Hector,Paytm Voucher,A luxurious car lot feature,a luxurious car lot feature,0
20,Cardekho,Hector,Paytm Voucher,Drive comfortable,drive comfortable,1
21,Cardekho,Hector,Paytm Voucher,Literally best segment without doubt,literally best segment without doubt,1
22,Cardekho,Hector,Paytm Voucher,Abhishek Koundal Love Mg Hector seated MG Hector give star rating know best car,seated     give star rating know best car,1
23,Cardekho,Hector,Paytm Voucher,Arpit Shukla Best Features In Low Price The best car low price,best features in   price the best car low price,1
