Lemma,POS,Polarity_Score
zyrian,n,0
zymurgy,n,0
zymotic,a,-0.08847
zymosis,n,0.15754
zymolytic,a,-0.19821
zymolysis,n,0
zymology,n,0
zymoid,a,-0.01819
zymogen,n,0
zymase,n,0
zyloprim,n,-0.07997
zygotic,a,0
zygotene,n,0
zygote,n,0
zygospore,n,0
zygoptera,n,0
zygophyllum_fabago,n,0
zygophyllum,n,-0.42036
zygophyllaceae,n,0
zygomycotina,n,0
zygomycota,n,0
zygomycetes,n,0
zygomorphous,a,0
zygomorphic,a,0
zygomatic_process,n,0
zygomatic_bone,n,0
zygomatic_arch,n,0
zygomatic,a,0
zygomatic,n,0
zygoma,n,0
zygodactyl_foot,n,0
zygodactyl,a,0
zygocactus_truncatus,n,0
zygocactus,n,0
zygnematales,n,0
zygnemataceae,n,0
zygnemales,n,0
zygnema,n,-0.07997
zydeco,n,0
zworykin,n,0
zwingli,n,0
zwieback,n,0
zweig,n,0
zurvanism,n,0
zurvan,n,0
zurich,n,0
zuni,n,0
zulu,n,0
zukerman,n,0
zuider_zee,n,0
zucchini,n,0
zubird,n,-0.28345
zu,n,-0.28345
zsigmondy,n,0
zr,n,0
zoysia_tenuifolia,n,0
zoysia_matrella,n,0
zoysia_japonica,n,0
zoysia,n,0
zovirax,n,-0.34088
zosteraceae,n,0
zostera_marina,n,0
zostera,n,0
zoster,n,-0.34088
zoroastrianism,n,0.15793
zoroastrian,a,0
zoroastrian,n,0
zoroaster,n,0
zoril,n,0
zori,n,0
zootoxin,n,-0.19821
zoot_suit,n,-0.19821
zoospore,n,-0.07997
zoopsia,n,-0.19821
zooplankton,n,0
zoophyte,n,0
zoophobia,n,-0.19821
zoophilism,n,-0.01819
zoophilia,n,-0.01819
zoophagous,a,-0.07997
zoonotic_disease,n,0
zoonotic,a,0
zoonosis,n,0
zoomorphism,n,-0.07997
zoomastigote,n,-0.19821
zoomastigina,n,0
zoom_lens,n,0
zoom_in,v,0.12208
zoom_along,v,0
zoom,n,0
zoom,v,0
zoology,n,0
zoologist,n,0
zoological_science,n,0
zoological_garden,n,0
zoological,a,0
zoolatry,n,-0.07997
zooid,n,0
zooflagellate,n,-0.19821
zooerasty,n,0
zooerastia,n,0
zoo_keeper,n,0.12208
zoo,n,0
zonule,n,0
zonula,n,0
zonotrichia_leucophrys,n,-0.07997
zonotrichia_albicollis,n,0
zonotrichia,n,0
zonk_out,v,-0.10734
zoning_commission,n,0
zoning_board,n,0
zoning,n,0
zone_of_interior,n,-0.19821
zone_fire,n,0
zone,n,-0.08313
zone,v,-0.0984
zonary,a,0.12208
zonal_pelargonium,n,0
zonal,a,0.10554
zona_pellucida,n,0
zona,n,0
zombie_spirit,n,0
zombie,n,0
zombi_spirit,n,0
zombi,n,0
zomba,n,0
zoloft,n,-0.07997
zollinger-ellison_syndrome,n,-0.19821
zolaesque,a,0.17826
zola,n,0
zoisia,n,0
zoic,a,0
zoftig,a,0.12208
zodiacal_light,n,0
zodiacal,a,0
zodiac,n,0.08135
zocor,n,0
zoarcidae,n,0
zoarces_viviparus,n,0
zoarces,n,0
zoanthropy,n,0
zn,n,0
zloty,n,0
zizz,n,-0.10451
ziziphus_lotus,n,0
ziziphus_jujuba,n,0
ziziphus,n,0
zizania_aquatica,n,0
zizania,n,0
ziti,n,0
zithromax,n,0
zithern,n,0
zither,n,0
zit,n,-0.38229
zirconium_silicate,n,0
zirconium_oxide,n,0
zirconium_dioxide,n,0
zirconium,n,0
zirconia,n,0
zircon,n,0
zirbanit,n,0
zippy,a,0.17826
zippo,n,-0.08901
zipper,n,0
zipper,v,0.03799
ziphiidae,n,0
zip_up,v,0.15793
zip_gun,n,-0.19821
zip_fastener,n,0
zip_code,n,0
zip_by,v,0
zip,n,0.01811
zip,v,0.01313
zionist_movement,n,0
zionist,a,0
zionist,n,0
zionism,n,0
zion_national_park,n,0
zion,n,0.12946
zinzendorf,n,0
zinsser,n,0
zinnwaldite,n,0
zinnia_grandiflora,n,0
zinnia_acerosa,n,0
zinnia,n,0
zinnemann,n,0
zinkenite,n,0
zinjanthropus,n,0
zingiberaceae,n,0
zingiber_officinale,n,0
zingiber,n,0
zinger,n,0.12208
zing,n,0.4607
zinfandel,n,-0.02298
zinc_white,n,0
zinc_vitriol,n,0
zinc_sulphide,n,0
zinc_sulphate,n,0
zinc_sulfide,n,0
zinc_sulfate,n,0
zinc_oxide,n,0
zinc_ointment,n,0
zinc_deficiency,n,-0.42036
zinc_cadmium_sulfide,n,0
zinc_blende,n,0
zinc,n,0
zinc,v,0
zinacef,n,0
zimmer_frame,n,0
zimmer,n,0
zimbalist,n,0
zimbabwean_dollar,n,0
zimbabwean,a,0
zimbabwean,n,0
zimbabwe,n,0
zillion,a,0.22711
zillion,n,0.23051
zill,n,0
zilch,n,-0.25767
zikurat,n,0
zikkurat,n,0
zigzag_goldenrod,n,0
zig-zag,a,0
zigzag,a,0
zigzag,n,0
zigzag,r,0
zigzag,v,0
ziggurat,n,0
zigadenus_venenosus_gramineus,n,0
zigadenus_venenosus,n,0
zigadenus_nuttalli,n,0
zigadenus_glaucus,n,0
zigadenus_elegans,n,0
zigadenus,n,0
zigadene,n,0
zig,n,0
ziegler,n,0
ziegfeld_follies,n,0
ziegfeld,n,0
zidovudine,n,0
zibit,n,0
zib,n,0
zhukov,n,0
zhuang,n,0
zhu_jiang,n,0
zhou_en-lai,n,0
zhou_dynasty,n,0
zhou,n,0
zeus_faber,n,0
zeus,n,0
zeugma,n,0
zettabyte,n,0
zettabit,n,0
